id,primary,yearpublished,minplayers,maxplayers,playingtime,minage,owned,trading,wanting,wishing,average,bayes_average,users_rated,is_popular
15559,Quak,1994,2,4,15,4,98,2,0,5,5.63,5.504,53,0
73240,Aachen: First to Fall,2010,1,2,60,12,188,5,2,23,6.23,5.52,53,0
123923,Super Hero Squad Card Game,2012,2,2,15,8,97,7,9,17,6.75,5.533,53,1
226757,Vault Assault,2017,2,4,20,8,164,9,3,27,6.2,5.508,53,0
11673,Spanish Civil War Battles: Vol. 2 – Guadalajara & Penarroya,2003,2,2,0,12,259,13,7,19,4.96,5.484,53,0
117986,Card Goblins,2012,2,5,60,12,90,2,1,5,6.81,5.526,53,1
324957,The Snallygaster Situation: Kids on Bikes Board Game,2021,2,5,60,8,220,5,26,178,7.13,5.54,53,1
4245,Asteroid Zero-Four,1979,2,2,60,12,163,4,10,26,6.19,5.514,53,0
8788,Grenadier: Tactical Warfare 1680-1850,1972,2,2,100,12,209,11,6,23,5.88,5.509,53,0
1156,Bram Stoker's Dracula: The Board Game,1992,1,6,180,12,160,14,4,20,5.0,5.484,53,0
182796,Bardagi: The Claim for Gold,2016,2,5,120,10,194,20,4,41,5.99,5.503,53,0
18564,Children of Fire,2005,2,5,60,12,65,6,2,20,5.69,5.504,53,0
155577,Jungle Speed: 20 Years,2014,2,8,0,0,158,4,8,21,6.6,5.529,53,1
32863,Quelf Jr.,2007,3,6,30,6,174,6,1,9,4.99,5.484,53,0
4320,The Air-Eaters Strike Back!,1981,1,5,180,14,242,10,21,49,6.55,5.526,53,1
39067,"June '44: The Struggle for Normandy, 1944",2008,2,2,120,0,178,3,16,44,7.34,5.549,53,1
5231,Orcwars,1988,2,4,150,12,140,7,2,10,5.81,5.51,53,0
32187,Chaos in the Kids' Room,2006,2,6,10,4,116,0,4,10,6.12,5.52,53,0
138682,Spy or Die Trying,2013,2,4,60,12,176,9,6,39,6.5,5.524,53,0
4894,Three For All!,1990,4,16,30,10,210,12,0,4,6.36,5.524,53,0
244166,Sherlock Holmes & Moriarty: Associates,2015,1,1,0,10,367,5,11,33,6.97,5.545,53,1
234101,Samurai Vassal,2018,2,6,20,12,101,2,3,20,6.31,5.522,53,0
213260,Zoar,2018,2,4,45,13,85,14,3,33,6.03,5.512,53,0
22042,Da Vinci's Challenge Card Game,2005,3,4,0,8,189,23,3,5,4.15,5.457,53,0
212288,Rainbow 35,2016,2,5,20,8,81,1,2,4,5.79,5.505,53,0
254585,Bad Doctor,2018,2,4,40,10,133,9,0,10,5.8,5.505,53,0
200836,Da Yunhe: Der Grosse Kaiserkanal,2016,2,5,90,10,148,10,3,22,6.13,5.517,53,0
19571,The Sudoku Game,2005,1,4,10,9,159,18,3,8,4.32,5.466,53,0
302911,Mein Königreich für ein Pferd,2021,1,4,45,8,108,2,8,44,6.2,5.518,53,0
35414,The Chain Game,2008,3,10,30,12,141,9,0,9,5.29,5.494,53,0
10836,Moguli,2003,2,2,45,12,129,3,3,17,6.12,5.518,53,0
299248,The Order of Veiel,2020,1,7,180,15,108,0,2,14,7.88,5.541,53,1
291550,Foto Fish,2020,2,4,20,4,97,1,6,40,6.64,5.526,53,1
171579,Dwarves Inc.,2015,3,6,60,8,70,7,12,46,6.82,5.535,53,1
239262,Platoon Commander Deluxe: The Battle of Kursk,2018,2,2,0,0,217,7,13,50,7.7,5.555,53,1
16018,A Greek Tragedy: The Italian Invasion of Greece 1940-1941,2001,2,2,360,12,283,5,2,17,6.2,5.52,53,0
37103,Spangles,1982,2,2,20,0,46,0,2,24,6.53,5.522,53,1
129944,Hey Froggy!,2012,2,4,10,10,119,8,3,11,5.49,5.497,53,0
342021,Space Invaders,2021,1,4,45,8,234,6,13,75,7.03,5.542,53,1
243231,Henhouse Havoc,2018,2,4,60,10,147,7,10,45,6.87,5.536,53,1
166183,Palaces,2018,2,4,45,12,176,18,2,26,6.14,5.518,53,0
67628,U-Build Battleship,2010,2,2,0,7,192,6,1,9,4.38,5.465,53,0
36510,The Game of Life Express,2007,2,5,20,8,88,4,19,32,6.21,5.519,52,0
13786,Monogamy,2001,2,2,60,18,173,3,1,15,5.68,5.504,52,0
280148,Gizeh!,2019,2,4,40,8,110,3,0,15,6.38,5.522,52,0
196342,Word Porters,2016,3,6,20,6,72,2,5,17,6.31,5.525,52,0
25789,Eragon,2006,2,4,30,8,170,22,0,4,3.79,5.45,52,0
244939,Greedy Dragons,2018,2,6,30,8,134,5,4,12,6.6,5.524,52,1
203401,Luther: Das Spiel,2016,2,4,45,10,118,2,5,24,5.58,5.503,52,0
8366,Wellington Vs Massena,1985,2,2,120,12,277,10,0,8,5.79,5.504,52,0
21479,Knight Moves,2005,2,2,10,8,92,2,8,28,6.45,5.523,52,0
192731,Skiwampus,2016,2,6,20,10,171,7,2,20,6.54,5.53,52,1
4022,Diceball!,1991,2,2,45,8,119,7,1,4,5.75,5.5,52,0
283790,Truck Off: The Food Truck Frenzy Roll And Write,2019,1,99,35,14,221,7,14,83,6.44,5.529,52,0
245134,Dackel Drauf!,2018,2,5,20,8,130,1,0,10,6.28,5.525,52,0
23643,Nine Navies War,2007,2,2,120,12,167,9,11,20,6.5,5.525,52,0
